timestamp,neutral,happy,sad,angry,fear
1573897427,0,0,0,0,0
1573897562,0.000,0.000,0.000,1.000,0.000
1573898841,0.000,0.000,0.000,1.000,0.000
1573898880,0.997,0.000,0.003,0.000,0.000
1573899065,0.669,0.000,0.127,0.204,0.000
1573899230,0.401,0.010,0.432,0.157,0.000
